<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRE.US,D,20050705,000000,20.4608,20.8636,20.4339,20.8546,916238.9888518,0
DRE.US,D,20050706,000000,20.7771,20.9213,20.7164,20.8676,909087.66597312,0
DRE.US,D,20050707,000000,20.7771,20.8208,20.6318,20.6885,903915.95152241,0
DRE.US,D,20050708,000000,20.7084,21.153,20.6179,21.0068,850680.67155249,0
DRE.US,D,20050711,000000,21.0317,21.35,20.968,21.2704,1008408.9138097,0
DRE.US,D,20050712,000000,21.2485,21.2704,21.0595,21.153,859654.76237424,0
DRE.US,D,20050713,000000,21.0267,21.0377,20.788,20.7999,781934.26978133,0
DRE.US,D,20050714,000000,20.4538,20.5543,20.231,20.4279,1825775.0577497,0
DRE.US,D,20050715,000000,20.3175,20.597,20.3175,20.5324,1447666.8318451,0
DRE.US,D,20050718,000000,20.4687,20.6179,20.3931,20.5861,604737.69964238,0
DRE.US,D,20050719,000000,20.6776,21.0118,20.597,20.9491,1101493.7415962,0
DRE.US,D,20050720,000000,20.8676,21.2485,20.7771,21.2286,614170.24726613,0
DRE.US,D,20050721,000000,21.2237,21.2237,20.7084,20.8895,839883.81278768,0
DRE.US,D,20050722,000000,20.9491,21.1162,20.8208,21.1093,899198.67232281,0
DRE.US,D,20050725,000000,21.2147,21.2286,21.0516,21.2067,589531.21032142,0
DRE.US,D,20050726,000000,21.2018,21.6116,21.0943,21.6116,1152748.4077504,0
DRE.US,D,20050727,000000,21.6573,21.6573,21.158,21.4793,936770.01155747,0
DRE.US,D,20050728,000000,21.3082,21.71,21.3082,21.6404,1263931.2199512,0
DRE.US,D,20050729,000000,21.6573,21.716,21.4136,21.6454,911373.91765681,0
DRE.US,D,20050801,000000,21.6643,21.8602,21.5071,21.716,1628048.4702928,0
DRE.US,D,20050802,000000,21.7996,21.8324,21.5071,21.6643,3336109.7171885,0
DRE.US,D,20050803,000000,21.6513,21.6643,21.5628,21.6036,609608.80316371,0
DRE.US,D,20050804,000000,21.527,21.539,21.2704,21.35,617666.98576916,0
DRE.US,D,20050805,000000,21.1898,21.1898,20.2419,20.5175,1435499.6296129,0
DRE.US,D,20050808,000000,20.5175,20.5175,19.6044,19.8888,1853309.6113387,0
DRE.US,D,20050809,000000,19.9217,20.413,19.8809,20.04,1576344.3958261,0
DRE.US,D,20050810,000000,19.8809,20.1196,19.6442,19.7028,1154119.7566056,0
DRE.US,D,20050811,000000,19.7963,20.2628,19.7963,20.2419,950002.92477681,0
DRE.US,D,20050812,000000,20.1455,20.3344,20.0261,20.2698,622839.7056076,0
DRE.US,D,20050815,000000,20.3344,20.6776,20.2628,20.5105,691435.2992202,0
DRE.US,D,20050816,000000,20.4538,20.7452,20.4419,20.6119,616300.66385265,0
DRE.US,D,20050817,000000,20.6438,20.6438,20.2917,20.3175,867717.97191831,0
DRE.US,D,20050818,000000,20.3096,20.3344,19.9823,20.0649,932667.02425706,0
DRE.US,D,20050819,000000,19.9495,20.0729,19.8152,19.9018,807029.75275261,0
DRE.US,D,20050822,000000,19.9495,20.1266,19.8888,20.0032,1284764.8643618,0
DRE.US,D,20050823,000000,20.0191,20.231,20.0032,20.0191,622082.64865165,0
DRE.US,D,20050824,000000,20.0729,20.421,20.0331,20.1703,2124498.8743786,0
DRE.US,D,20050825,000000,20.2469,20.3096,20.1077,20.2469,995324.79797349,0
